parameter,mode,lci,uci,type
intercept,1.557215710297752,0.662016986532771,2.37902291589281,speaker_optimality
slope,1.1758498163158335,0.7290208489034882,2.1215896009681736,speaker_optimality
intercept,1.9567828667437919,1.3247137991952913,1.9994656714647856,prior
slope,-0.42834956739097796,-0.8382499118923805,-0.17074983680676503,prior
intercept,-1.2111918989755714,-2.4675806557035553,0.007271996321629254,semantic_knowledge
slope,1.095068596552552,0.2777061726061049,1.834106772502296,semantic_knowledge
